#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,string,string,double
#default,_result,,,,,
,result,table,_time,_measurement,host,used_percent
,,0,2021-05-09T20:13:00Z,mem,tortuga,2.268024923542836
,,0,2021-05-09T20:13:10Z,mem,tortuga,2.2653734053575474
,,0,2021-05-09T20:13:10Z,mem,Orient.local,50.873351097106934
,,0,2021-05-09T20:13:20Z,mem,tortuga,2.26193310601874
,,0,2021-05-09T20:13:20Z,mem,Orient.local,50.80769062042236
,,0,2021-05-09T20:13:30Z,mem,Orient.local,50.85514783859253
,,0,2021-05-09T20:13:30Z,mem,tortuga,2.262388172068847
,,0,2021-05-09T20:13:40Z,mem,Orient.local,50.84280967712402
,,0,2021-05-09T20:13:40Z,mem,tortuga,2.2608955554244967
,,0,2021-05-09T20:13:50Z,mem,Orient.local,50.855886936187744
,,0,2021-05-09T20:13:50Z,mem,tortuga,2.262406374710851
,,0,2021-05-09T20:14:00Z,mem,Orient.local,50.92167854309082
,,0,2021-05-09T20:14:00Z,mem,tortuga,2.2650700279908094
,,0,2021-05-09T20:14:10Z,mem,tortuga,2.262855373213623
,,0,2021-05-09T20:14:10Z,mem,Orient.local,50.836217403411865
,,0,2021-05-09T20:14:20Z,mem,Orient.local,50.79561471939087
,,0,2021-05-09T20:14:20Z,mem,tortuga,2.2579709976091435
,,0,2021-05-09T20:14:30Z,mem,tortuga,2.2607013939097844
,,0,2021-05-09T20:14:30Z,mem,Orient.local,50.781333446502686
,,0,2021-05-09T20:14:40Z,mem,tortuga,2.2625398607522156
,,0,2021-05-09T20:14:40Z,mem,Orient.local,50.78158378601074
,,0,2021-05-09T20:14:50Z,mem,Orient.local,50.7871150970459
,,0,2021-05-09T20:14:50Z,mem,tortuga,2.261259608264582
,,0,2021-05-09T20:15:00Z,mem,tortuga,2.2620847947021088
,,0,2021-05-09T20:15:00Z,mem,Orient.local,50.80437660217285
,,0,2021-05-09T20:15:10Z,mem,Orient.local,50.805604457855225
,,0,2021-05-09T20:15:10Z,mem,tortuga,2.2718171406270593
,,0,2021-05-09T20:15:20Z,mem,Orient.local,50.810396671295166
,,0,2021-05-09T20:15:20Z,mem,tortuga,2.2521522197151116
,,0,2021-05-09T20:15:30Z,mem,tortuga,2.2644754083520033
,,0,2021-05-09T20:15:30Z,mem,Orient.local,50.83361864089966
,,0,2021-05-09T20:15:40Z,mem,Orient.local,50.84428787231445
,,0,2021-05-09T20:15:40Z,mem,tortuga,2.26355314115712
,,0,2021-05-09T20:15:50Z,mem,tortuga,2.2635106683257766
,,0,2021-05-09T20:15:50Z,mem,Orient.local,50.83109140396118
,,0,2021-05-09T20:16:00Z,mem,Orient.local,50.82862377166748
,,0,2021-05-09T20:16:00Z,mem,tortuga,2.2633225743583996
,,0,2021-05-09T20:16:10Z,mem,tortuga,2.2625398607522156
,,0,2021-05-09T20:16:10Z,mem,Orient.local,50.85947513580322
,,0,2021-05-09T20:16:20Z,mem,tortuga,2.2614294995899553
,,0,2021-05-09T20:16:20Z,mem,Orient.local,50.849318504333496
,,0,2021-05-09T20:16:30Z,mem,Orient.local,50.94125270843506
,,0,2021-05-09T20:16:30Z,mem,tortuga,2.268959325832389
,,0,2021-05-09T20:16:40Z,mem,Orient.local,50.97318887710571
,,0,2021-05-09T20:16:40Z,mem,tortuga,2.2678610997647977
,,0,2021-05-09T20:16:50Z,mem,tortuga,2.2469583991965596
,,0,2021-05-09T20:16:50Z,mem,Orient.local,50.908589363098145
,,0,2021-05-09T20:17:00Z,mem,tortuga,2.244677001398691
,,0,2021-05-09T20:17:00Z,mem,Orient.local,50.953733921051025
,,0,2021-05-09T20:17:10Z,mem,tortuga,2.2439367606238507
,,0,2021-05-09T20:17:10Z,mem,Orient.local,50.95179080963135
,,0,2021-05-09T20:17:20Z,mem,tortuga,2.2452716210374972
,,0,2021-05-09T20:17:20Z,mem,Orient.local,51.02498531341553
,,0,2021-05-09T20:17:30Z,mem,tortuga,2.262655144151576
,,0,2021-05-09T20:17:30Z,mem,Orient.local,50.978779792785645
,,0,2021-05-09T20:17:40Z,mem,Orient.local,51.08519792556763
,,0,2021-05-09T20:17:40Z,mem,tortuga,2.247631896950718
,,0,2021-05-09T20:17:50Z,mem,tortuga,2.2491609188790767
,,0,2021-05-09T20:17:50Z,mem,Orient.local,51.18744373321533
,,0,2021-05-09T20:18:00Z,mem,Orient.local,51.2865424156189
,,0,2021-05-09T20:18:00Z,mem,tortuga,2.2474073976993316
,,0,2021-05-09T20:18:10Z,mem,tortuga,2.249015297743042
,,0,2021-05-09T20:18:10Z,mem,Orient.local,51.345086097717285
,,0,2021-05-09T20:18:20Z,mem,tortuga,2.248997095101038
,,0,2021-05-09T20:18:20Z,mem,Orient.local,51.29952430725098
,,0,2021-05-09T20:18:30Z,mem,Orient.local,51.30668878555298
,,0,2021-05-09T20:18:30Z,mem,tortuga,2.2526315559545576
,,0,2021-05-09T20:18:40Z,mem,tortuga,2.254967561678439
,,0,2021-05-09T20:18:40Z,mem,Orient.local,51.185643672943115
,,0,2021-05-09T20:18:50Z,mem,Orient.local,51.20069980621338
,,0,2021-05-09T20:18:50Z,mem,tortuga,2.2540028216522128
,,0,2021-05-09T20:19:00Z,mem,Orient.local,51.21133327484131
,,0,2021-05-09T20:19:00Z,mem,tortuga,2.252546610291871
,,0,2021-05-09T20:19:10Z,mem,Orient.local,51.262474060058594
,,0,2021-05-09T20:19:10Z,mem,tortuga,2.2272388703585992
,,0,2021-05-09T20:19:20Z,mem,tortuga,2.229368579473099
,,0,2021-05-09T20:19:20Z,mem,Orient.local,51.24384164810181
,,0,2021-05-09T20:19:30Z,mem,tortuga,2.242158969254767
,,0,2021-05-09T20:19:30Z,mem,Orient.local,51.36157274246216
,,0,2021-05-09T20:19:40Z,mem,Orient.local,51.33063793182373
,,0,2021-05-09T20:19:40Z,mem,tortuga,2.2413883907432526
,,0,2021-05-09T20:19:50Z,mem,Orient.local,51.28287076950073
,,0,2021-05-09T20:19:50Z,mem,tortuga,2.243135844375663
,,0,2021-05-09T20:20:00Z,mem,tortuga,2.239113060492719
,,0,2021-05-09T20:20:00Z,mem,Orient.local,51.30423307418823
,,0,2021-05-09T20:20:10Z,mem,Orient.local,51.33146047592163
,,0,2021-05-09T20:20:10Z,mem,tortuga,2.2374990929016736
,,0,2021-05-09T20:20:20Z,mem,Orient.local,51.284754276275635
,,0,2021-05-09T20:20:20Z,mem,tortuga,2.237493025354339
,,0,2021-05-09T20:20:30Z,mem,Orient.local,51.2850284576416
,,0,2021-05-09T20:20:30Z,mem,tortuga,2.2445374478099915
,,0,2021-05-09T20:20:40Z,mem,Orient.local,51.30913257598877
,,0,2021-05-09T20:20:40Z,mem,tortuga,2.2454051070788617
,,0,2021-05-09T20:20:50Z,mem,Orient.local,51.256585121154785
,,0,2021-05-09T20:20:50Z,mem,tortuga,2.2284645149202205
,,0,2021-05-09T20:21:00Z,mem,Orient.local,51.25683546066284
,,0,2021-05-09T20:21:00Z,mem,tortuga,2.2259889556076393
,,0,2021-05-09T20:21:10Z,mem,tortuga,2.22697189827587
,,0,2021-05-09T20:21:10Z,mem,Orient.local,51.25395059585571
,,0,2021-05-09T20:21:20Z,mem,tortuga,2.225995023154974
,,0,2021-05-09T20:21:20Z,mem,Orient.local,51.544153690338135
,,0,2021-05-09T20:21:30Z,mem,tortuga,2.2501802668313156
,,0,2021-05-09T20:21:30Z,mem,Orient.local,51.683926582336426
,,0,2021-05-09T20:21:40Z,mem,Orient.local,51.278066635131836
,,0,2021-05-09T20:21:40Z,mem,tortuga,2.251751761591018
,,0,2021-05-09T20:21:50Z,mem,tortuga,2.251017588363512
,,0,2021-05-09T20:21:50Z,mem,Orient.local,51.27178430557251
,,0,2021-05-09T20:22:00Z,mem,tortuga,2.2513331008249193
,,0,2021-05-09T20:22:00Z,mem,Orient.local,51.284897327423096
,,0,2021-05-09T20:22:10Z,mem,tortuga,2.2462606312530626
,,0,2021-05-09T20:22:10Z,mem,Orient.local,51.27929449081421
,,0,2021-05-09T20:22:20Z,mem,tortuga,2.2368559328841893
,,0,2021-05-09T20:22:20Z,mem,Orient.local,51.13167762756348
,,0,2021-05-09T20:22:30Z,mem,Orient.local,51.212918758392334
,,0,2021-05-09T20:22:30Z,mem,tortuga,2.2421832394441057
,,0,2021-05-09T20:22:40Z,mem,Orient.local,51.21556520462036
,,0,2021-05-09T20:22:40Z,mem,tortuga,2.244373624031953
,,0,2021-05-09T20:22:50Z,mem,Orient.local,51.220107078552246
,,0,2021-05-09T20:22:50Z,mem,tortuga,2.246181753137711
,,0,2021-05-09T20:23:00Z,mem,tortuga,2.244276543274597
,,0,2021-05-09T20:23:00Z,mem,Orient.local,51.22750997543335
,,0,2021-05-09T20:23:10Z,mem,tortuga,2.246952331649225
,,0,2021-05-09T20:23:10Z,mem,Orient.local,51.19001865386963
,,0,2021-05-09T20:23:20Z,mem,tortuga,2.2448104874400556
,,0,2021-05-09T20:23:20Z,mem,Orient.local,51.19262933731079
,,0,2021-05-09T20:23:30Z,mem,Orient.local,51.18905305862427
,,0,2021-05-09T20:23:30Z,mem,tortuga,2.252716501617244
,,0,2021-05-09T20:23:40Z,mem,Orient.local,51.24944448471069
,,0,2021-05-09T20:23:40Z,mem,tortuga,2.2502106045679895
,,0,2021-05-09T20:23:50Z,mem,Orient.local,51.226723194122314
,,0,2021-05-09T20:23:50Z,mem,tortuga,2.2469401965545552
,,0,2021-05-09T20:24:00Z,mem,Orient.local,51.22640132904053
,,0,2021-05-09T20:24:00Z,mem,tortuga,2.2492033917104197
,,0,2021-05-09T20:24:10Z,mem,tortuga,2.2388521559573245
,,0,2021-05-09T20:24:10Z,mem,Orient.local,51.23087167739868
,,0,2021-05-09T20:24:20Z,mem,tortuga,2.2399261118355764
,,0,2021-05-09T20:24:20Z,mem,Orient.local,51.205646991729736
,,0,2021-05-09T20:24:30Z,mem,tortuga,2.24944609360381
,,0,2021-05-09T20:24:30Z,mem,Orient.local,51.187682151794434
,,0,2021-05-09T20:24:40Z,mem,tortuga,2.246594346356474
,,0,2021-05-09T20:24:40Z,mem,Orient.local,51.14738941192627
,,0,2021-05-09T20:24:50Z,mem,Orient.local,51.15143060684204
,,0,2021-05-09T20:24:50Z,mem,tortuga,2.2456781467089257
,,0,2021-05-09T20:25:00Z,mem,tortuga,2.2471404256166023
,,0,2021-05-09T20:25:00Z,mem,Orient.local,51.155102252960205
,,0,2021-05-09T20:25:10Z,mem,Orient.local,51.16366147994995
,,0,2021-05-09T20:25:10Z,mem,tortuga,2.254967561678439
,,0,2021-05-09T20:25:20Z,mem,Orient.local,51.16308927536011
,,0,2021-05-09T20:25:20Z,mem,tortuga,2.24595118633899
,,0,2021-05-09T20:25:30Z,mem,tortuga,2.253207972951359
,,0,2021-05-09T20:25:30Z,mem,Orient.local,51.15013122558594
,,0,2021-05-09T20:25:40Z,mem,Orient.local,51.246583461761475
,,0,2021-05-09T20:25:40Z,mem,tortuga,2.254421482418311
,,0,2021-05-09T20:25:50Z,mem,tortuga,2.2459147810549815
,,0,2021-05-09T20:25:50Z,mem,Orient.local,51.54649019241333
,,0,2021-05-09T20:26:00Z,mem,tortuga,2.2548462107317437
,,0,2021-05-09T20:26:00Z,mem,Orient.local,51.64564847946167
,,0,2021-05-09T20:26:10Z,mem,tortuga,2.24195874019272
,,0,2021-05-09T20:26:10Z,mem,Orient.local,51.667189598083496
,,0,2021-05-09T20:26:20Z,mem,tortuga,2.2393800325754483
,,0,2021-05-09T20:26:20Z,mem,Orient.local,51.68962478637695
,,0,2021-05-09T20:26:30Z,mem,Orient.local,51.69568061828613
,,0,2021-05-09T20:26:30Z,mem,tortuga,2.251017588363512
,,0,2021-05-09T20:26:40Z,mem,tortuga,2.248602704524279
,,0,2021-05-09T20:26:40Z,mem,Orient.local,51.70034170150757
,,0,2021-05-09T20:26:50Z,mem,tortuga,2.2484631509355792
,,0,2021-05-09T20:26:50Z,mem,Orient.local,51.665401458740234
,,0,2021-05-09T20:27:00Z,mem,tortuga,2.2491427162370723
,,0,2021-05-09T20:27:00Z,mem,Orient.local,51.692748069763184
,,0,2021-05-09T20:27:10Z,mem,Orient.local,51.70245170593262
,,0,2021-05-09T20:27:10Z,mem,tortuga,2.245502187836218
,,0,2021-05-09T20:27:20Z,mem,Orient.local,51.660001277923584
,,0,2021-05-09T20:27:20Z,mem,tortuga,2.242729318704234
,,0,2021-05-09T20:27:30Z,mem,tortuga,2.247492343362018
,,0,2021-05-09T20:27:30Z,mem,Orient.local,51.678407192230225
,,0,2021-05-09T20:27:40Z,mem,tortuga,2.247801788276091
,,0,2021-05-09T20:27:40Z,mem,Orient.local,51.663970947265625
,,0,2021-05-09T20:27:50Z,mem,tortuga,2.245320161416175
,,0,2021-05-09T20:27:50Z,mem,Orient.local,51.667869091033936
,,0,2021-05-09T20:28:00Z,mem,Orient.local,51.701462268829346
,,0,2021-05-09T20:28:00Z,mem,tortuga,2.2428688722929335
,,0,2021-05-09T20:28:10Z,mem,Orient.local,51.71036720275879
,,0,2021-05-09T20:28:10Z,mem,tortuga,2.2430144934289675
,,0,2021-05-09T20:28:20Z,mem,tortuga,2.2392222763447442
,,0,2021-05-09T20:28:20Z,mem,Orient.local,51.71126127243042
,,0,2021-05-09T20:28:30Z,mem,Orient.local,51.7155647277832
,,0,2021-05-09T20:28:30Z,mem,tortuga,2.248529893956262
,,0,2021-05-09T20:28:40Z,mem,tortuga,2.247874598844108
,,0,2021-05-09T20:28:40Z,mem,Orient.local,51.76624059677124
,,0,2021-05-09T20:28:50Z,mem,Orient.local,51.74574851989746
,,0,2021-05-09T20:28:50Z,mem,tortuga,2.248256854326198
,,0,2021-05-09T20:29:00Z,mem,Orient.local,51.731181144714355
,,0,2021-05-09T20:29:00Z,mem,tortuga,2.2524373944398453
,,0,2021-05-09T20:29:10Z,mem,tortuga,2.2448165549873904
,,0,2021-05-09T20:29:10Z,mem,Orient.local,51.740050315856934
,,0,2021-05-09T20:29:20Z,mem,tortuga,2.242656508136217
,,0,2021-05-09T20:29:20Z,mem,Orient.local,51.73717737197876
,,0,2021-05-09T20:29:30Z,mem,Orient.local,51.73412561416626
,,0,2021-05-09T20:29:30Z,mem,tortuga,2.2509811830795035
,,0,2021-05-09T20:29:40Z,mem,Orient.local,51.732563972473145
,,0,2021-05-09T20:29:40Z,mem,tortuga,2.249440026056475
,,0,2021-05-09T20:29:50Z,mem,tortuga,2.2486087720716137
,,0,2021-05-09T20:29:50Z,mem,Orient.local,51.73879861831665
,,0,2021-05-09T20:30:00Z,mem,tortuga,2.2506656706180963
,,0,2021-05-09T20:30:00Z,mem,Orient.local,51.74140930175781
,,0,2021-05-09T20:30:10Z,mem,tortuga,2.2539603488208693
,,0,2021-05-09T20:30:10Z,mem,Orient.local,51.7412543296814
,,0,2021-05-09T20:30:20Z,mem,tortuga,2.253990686557543
,,0,2021-05-09T20:30:20Z,mem,Orient.local,51.7480731010437
,,0,2021-05-09T20:30:30Z,mem,Orient.local,51.77161693572998
,,0,2021-05-09T20:30:30Z,mem,tortuga,2.253735849569483
,,0,2021-05-09T20:30:40Z,mem,Orient.local,51.77731513977051
,,0,2021-05-09T20:30:40Z,mem,tortuga,2.255319479423855
,,0,2021-05-09T20:30:50Z,mem,Orient.local,51.7691969871521
,,0,2021-05-09T20:30:50Z,mem,tortuga,2.254973629225774
,,0,2021-05-09T20:31:00Z,mem,Orient.local,51.88714265823364
,,0,2021-05-09T20:31:00Z,mem,tortuga,2.2540028216522128
,,0,2021-05-09T20:31:10Z,mem,Orient.local,51.909852027893066
,,0,2021-05-09T20:31:10Z,mem,tortuga,2.2526376235018923
,,0,2021-05-09T20:31:20Z,mem,Orient.local,52.37104892730713
,,0,2021-05-09T20:31:20Z,mem,tortuga,2.2533535940873937
,,0,2021-05-09T20:31:30Z,mem,Orient.local,52.355289459228516
,,0,2021-05-09T20:31:30Z,mem,tortuga,2.264554286467355
,,0,2021-05-09T20:31:40Z,mem,Orient.local,54.20064926147461
,,0,2021-05-09T20:31:40Z,mem,tortuga,2.262351766784838
,,0,2021-05-09T20:31:50Z,mem,tortuga,2.262157605270126
,,0,2021-05-09T20:31:50Z,mem,Orient.local,53.92951965332031
,,0,2021-05-09T20:32:00Z,mem,tortuga,2.2588265217833445
